latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.60191,-72.57146,300.76,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,290.42,2,N
-36.60582,-72.57207,326.64,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,291.94,2,N
-36.60883,-72.61552,300.69,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,289.33,0.35,N
-36.61217,-72.58622,312.86,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,290.66,1.88,N
-36.83871,-72.92393,338.31,0.43,0.38,2026-01-17,1836,N,VIIRS,n,2.0NRT,307.94,5.79,D
-36.58717,-72.61415,347.74,0.42,0.38,2026-01-17,1836,N,VIIRS,l,2.0NRT,321.43,7.87,D
-37.27724,-72.76595,367,0.43,0.38,2026-01-17,1836,N,VIIRS,h,2.0NRT,336.99,119.54,D
-37.27787,-72.77085,367,0.43,0.38,2026-01-17,1836,N,VIIRS,h,2.0NRT,331.1,69.69,D
-37.2737,-72.76664,338,0.43,0.38,2026-01-17,1836,N,VIIRS,n,2.0NRT,306.83,24.17,D
-37.27434,-72.77154,311.13,0.43,0.38,2026-01-17,1836,N,VIIRS,l,2.0NRT,311.6,23.47,D
-36.78908,-72.98226,307.95,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,288.47,0.85,N
-36.78976,-72.97794,314.43,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,290.03,1.08,N
-36.79043,-72.9736,313.3,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,291.2,1.08,N
-36.7911,-72.96927,317.47,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,292.01,1.4,N
-36.79178,-72.96494,312.51,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,293.11,1.4,N
-36.79246,-72.96059,308.23,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,293.54,2.32,N
-36.79313,-72.95625,312.79,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,293.31,2.32,N
-36.79718,-72.93026,311.19,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,292.9,2.28,N
-36.79853,-72.92161,304.19,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,291.31,3.21,N
-36.7992,-72.91727,306.59,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,291.85,1.49,N
-36.79987,-72.91295,310.91,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,292.54,1.49,N
-36.80122,-72.90428,303.78,0.38,0.36,2026-01-18,0557,N,VIIRS,n,2.0NRT,290.31,17.72,N
